So	ADV	RB	-	-	-	False
I	PRON	PRP	-	-	-	False
want	VERB	VBP	-	-	-	False
to	PART	TO	-	-	-	False
talk	VERB	VB	-	-	-	False
about	ADP	IN	-	-	-	False
education	NOUN	NN	-	-	-	False
and	CCONJ	CC	-	-	-	False
I	PRON	PRP	-	-	Experiencer	True
want	VERB	VBP	want.v	Desiring	-	False
to	PART	TO	-	-	Event	True
talk	VERB	VB	-	-	Event	True
about	ADP	IN	-	-	Event	True
creativity	NOUN	NN	-	-	Event	True
.	PUNCT	.	-	-	-	False

Por	NOUN	FW	-	-	-	False
isso	X	FW	-	-	-	False
eu	X	FW	-	-	-	False
quero	X	FW	-	-	-	False
falar	X	FW	-	-	-	False
sobre	X	FW	-	-	-	False
educação	X	FW	-	-	-	False
e	X	FW	-	-	-	False
quero	X	FW	querer.v	Desiring	-	False
falar	X	FW	-	-	Event	True
sobre	X	FW	-	-	Event	True
criatividade	X	FW	-	-	Event	True
.	PUNCT	.	-	-	-	False
